boosting_type,colsample_bytree,force_col_wise,learning_rate,max_depth,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.7903894557293958,+,0.26082793522446374,5,52.0,0.7921174243234956,0.189191575675687,0.5578844449545322,402.582641480439,30
gbdt,0.9262735141594735,+,0.2504688238048446,5,92.0,0.6102232859242911,0.1849890834794639,0.7757103937004418,402.8456342017444,27
gbdt,0.738588302739159,+,0.34571000712148064,5,86.0,0.6504553632836155,0.9548661743151543,0.5704347920606877,402.9944486469997,55
gbdt,0.8366617199487629,+,0.40106271961669027,5,52.0,0.2321407046384582,0.15975678776923155,0.6130220081625868,403.0243170311251,38
gbdt,0.8966215857769189,+,0.20321581258314247,5,65.0,0.8983117409171157,0.21175425080137616,0.5006698702199761,403.0606765056111,86
gbdt,0.7731416496598364,+,0.24409921605398233,5,33.0,0.8143990955666335,0.1715693418419863,0.5963890003977498,403.2142070858927,81
gbdt,0.8595110038814903,+,0.2215336997314065,5,96.0,0.7753643788278823,0.6170793585023162,0.7973100175434191,403.30124031015913,8
gbdt,0.8197705344801635,+,0.27838592832670983,5,50.0,0.6150951797142961,0.7702716875063582,0.5298460536003688,403.3200991275314,72
goss,0.8592029158771305,+,0.2567353077787493,5,32.0,0.3792615610845751,0.8286498043314565,1.0,403.5506589586803,89
gbdt,0.7724192048048698,+,0.23062423552479683,5,62.0,0.9107421839405663,0.20449095234570186,0.6449978643069898,403.5852120825173,58
gbdt,0.9459242914505072,+,0.2197179240336353,5,75.0,0.994409802589679,0.09832417666019261,0.9839273551802048,403.7585043710988,22
gbdt,0.7793059638397266,+,0.21061121768269314,5,94.0,0.7108773293092232,0.7509838817396117,0.6892192076802908,403.8192197149495,69
gbdt,0.7634776189497445,+,0.2860172307708787,5,96.0,0.9979955354555463,0.12369990815973037,0.9864053448312599,403.8973740506597,24
dart,0.767116280818232,+,0.7089102667169274,5,93.0,0.6593683258113758,0.1842104419426533,0.5245946965847811,403.92936403196217,42
gbdt,0.6832910552913852,+,0.3110734966663895,5,72.0,0.26731298960263605,0.031496535532239606,0.7725290592389759,404.0248615163359,92
gbdt,0.7364158755626073,+,0.31446577473493453,5,86.0,0.6586986130160576,0.8562685535879679,0.5746571653507205,404.1662640419033,66
goss,0.7970173967135368,+,0.19118992729100717,5,87.0,0.8431162607916451,0.8042149466569808,1.0,404.2100030846258,62
dart,0.7234598612860592,+,0.7702696849601715,5,34.0,0.6453377693071989,0.08754910015259493,0.5021333366319196,404.2222845233448,82
gbdt,0.8946166832686413,+,0.1824914195587999,5,68.0,0.9548436317887465,0.5588771082520071,0.776908450188609,404.2566225753146,52
goss,0.9809815427815758,+,0.19935836212806618,5,75.0,0.8751118984907046,0.3977858693319253,1.0,404.2686209975718,20
dart,0.9075519766181455,+,0.5095875120194918,5,49.0,0.4775823263915494,0.07998533845801321,0.8116584932983388,404.7207303381054,37
goss,0.8314657344913539,+,0.3231192525247023,5,66.0,0.8178300196637514,0.003630307254743226,1.0,404.77467126613936,11
gbdt,0.7183326385882136,+,0.3669588791819543,5,86.0,0.6650802056451912,0.06309303254431309,0.6563911482594948,404.7896235843221,100
dart,0.7148974553940132,+,0.6933152299760814,5,92.0,0.5256189542850245,0.05612034810402297,0.9131580440866527,404.8515124960816,32
gbdt,0.8844630608633861,+,0.3962983290865025,5,47.0,0.6902902572404105,0.6328605879109837,0.7094445492333763,404.8520944998194,88
gbdt,0.9993244997586543,+,0.16213270265745267,5,73.0,0.4115756017718389,0.24607647522988388,0.9389380145551651,404.9354149787861,41
gbdt,0.6446081576722762,+,0.35845914326709283,5,95.0,0.7594545958101401,0.9849888802354718,0.5726332063706497,405.0683917851157,71
goss,0.6526881910758336,+,0.3262831646723986,5,31.0,0.86548670855248,0.45999661545759823,1.0,405.1024907822887,43
gbdt,0.6078928259093059,+,0.22900644925636457,5,98.0,0.6004951528867087,0.5727513487264504,0.8752960962322941,405.1038156377458,91
gbdt,0.9338430561507791,+,0.15794528285590295,5,40.0,0.4602438943743272,0.10678787755680919,0.521657375772661,405.2283233148351,90
gbdt,0.7207442071041043,+,0.28840807433209337,5,39.0,0.6219836291444045,0.36588911617733966,0.5949702241285286,405.3618059350497,33
gbdt,0.8502713079732495,+,0.5729502578622312,5,41.0,0.33716879187948956,0.9915406643633365,0.8126219885675513,405.529727294124,64
gbdt,0.7530811082136757,+,0.4747384069261056,5,58.0,0.5420006991005161,0.8939292586007725,0.6433279722929004,405.6632824236899,68
gbdt,0.7589781211244802,+,0.16947091579482632,5,81.0,0.9113253960778471,0.14121072951025457,0.6600711571950391,405.6902235207624,75
gbdt,0.8729239801492794,+,0.5086715516976571,5,38.0,0.6400100015740248,0.583369285641829,0.663374599087876,405.69693711801824,16
dart,0.6287922570252275,+,0.570466361374296,5,30.0,0.8202781057232434,0.13724999276711908,0.9028348330573097,405.7099157330285,98
gbdt,0.7826342557567448,+,0.15478938925605196,5,52.0,0.39005969404275287,0.19478077954267534,0.5431245489783249,405.8354994584268,31
gbdt,0.729632532641722,+,0.2604798317471518,5,44.0,0.5806813153057309,0.42528677403148873,0.8877758423975901,405.8769321453867,39
gbdt,0.6554362003249262,+,0.5270499710841963,5,55.0,0.9716450121651574,0.3528712130845975,0.5553053649662887,406.13033879652784,80
gbdt,0.8109224970950395,+,0.1437556493849814,5,46.0,0.7827948973750225,0.1280544893174443,0.801445982306502,406.13378762881615,44
gbdt,0.7104156439175925,+,0.3644152954799294,5,42.0,0.6406300298241487,0.4796177205554454,0.569067907942386,406.14077956121145,67
goss,0.8089970475056211,+,0.13755665312045398,5,51.0,0.6764284601965131,0.38050799967765714,1.0,406.2103027685532,78
gbdt,0.7285091433522015,+,0.43546054823447466,5,74.0,0.49159837277366847,0.5494973792436515,0.8353470839207229,406.2244089840519,74
gbdt,0.9083005558061223,+,0.53487934931967,5,70.0,0.883315277380862,0.8373883555532842,0.6725448375132252,406.253710178476,3
dart,0.6975893709853745,+,0.45797541351987775,5,35.0,0.24618151179470238,0.6585282623185917,0.9357439791282782,406.53879072848105,51
gbdt,0.847254364787671,+,0.6575406812670843,5,56.0,0.7735566853878237,0.2802623070114107,0.9000838001437328,406.6040586348397,26
gbdt,0.8531510748246096,+,0.12693514012793927,5,92.0,0.6083090443606569,0.23705097123561425,0.7648063519862797,406.73064103067264,28
gbdt,0.8760218706550036,+,0.13952214639437233,5,54.0,0.8009934540136943,0.16542460324782196,0.9394932883665277,406.7739818067459,60
gbdt,0.7950323185046928,+,0.4103980459990954,5,37.0,0.46599310421459206,0.3681726127138365,0.7583844982139026,406.8078949922096,29
gbdt,0.9475841843852904,+,0.12470360037679114,5,36.0,0.5472541522363245,0.031845580357091854,0.9914021043111424,406.9278236713175,23
goss,0.6034253331304934,+,0.5970982349061865,5,48.0,0.07211867922589232,0.052644395561886825,1.0,407.03110678672897,46
gbdt,0.7904085183160233,+,0.7185203515984773,5,57.0,0.8533520150238091,0.23157076622083195,0.7105260578166704,407.1150556717232,77
dart,0.6389983653861535,+,0.3888539830287766,5,30.0,0.9209817283659104,0.6370340314241265,0.6308684032130806,407.2252282675251,15
gbdt,0.7317860404178245,+,0.47301631214489614,5,84.0,0.5619933047525439,0.1925523860078457,0.617681714593031,407.485869045626,96
gbdt,0.7663952190267495,+,0.1288651800841054,5,56.0,0.7642480640391618,0.41270847779986186,0.9154649301210789,407.9667198753901,94
gbdt,0.8355995754238907,+,0.1131035860502082,5,61.0,0.5060043230628278,0.5178590654222943,0.7496724657235239,408.1893728973908,85
gbdt,0.7048444768892169,+,0.6181248451972055,5,92.0,0.5397678130125643,0.3036515141103173,0.6327724973216033,408.3503199123702,79
dart,0.7423947825903898,+,0.33122509414135487,5,69.0,0.5769162759789048,0.705134584871883,0.6113321423525431,408.4260674181214,76
gbdt,0.889471825324314,+,0.09919690629989858,5,91.0,0.7126085291784279,0.345194918702041,0.5053329462799915,408.86064443959646,45
goss,0.9168809819873998,+,0.10088451620518836,5,59.0,0.7328878654844306,0.4401469603318777,1.0,408.8902462854679,95
goss,0.7544283029894612,+,0.11712225751006251,5,98.0,0.3072581638887394,0.8814784176329411,1.0,409.3217523141173,13
gbdt,0.9219612837877966,+,0.08865135707646442,5,60.0,0.8382217123936806,0.46370282677980107,0.7098981853795061,409.58922285558833,35
dart,0.8242753583564992,+,0.280939708933809,5,66.0,0.2956600199043349,0.9283769271237529,0.9867362608373735,409.76636689202,87
dart,0.7490986093501726,+,0.24624907333707632,5,97.0,0.9520112269346088,0.7364992972562671,0.7978853040323209,410.8244629249754,47
goss,0.803302726627814,+,0.08565217863313246,5,52.0,0.42855502292851855,0.6016171561502435,1.0,411.0288779480263,84
goss,0.9766978524295901,+,0.8554752431127115,5,70.0,0.6946896343853821,0.28813841028148135,1.0,411.2081266716946,19
gbdt,0.9365690002931812,+,0.07682235599881723,5,45.0,0.9920302304492232,0.154409898406207,0.8239360476738524,411.65586102818605,25
gbdt,0.9676705516076629,+,0.8305956977485957,5,79.0,0.3555973599089421,0.5965671946695332,0.6236058910643529,411.6935316880916,48
dart,0.8877505702629412,+,0.20721400388146025,5,40.0,0.3584815225733641,0.8791358871980453,0.6816015479755677,412.1815491137768,12
gbdt,0.9857903423733403,+,0.956863865447408,5,43.0,0.7157928912163171,0.33153711007231035,0.6712498787390715,412.5581457835767,83
gbdt,0.6845657149096784,+,0.07767879332694827,5,76.0,0.7006214446213659,0.9554779863099281,0.6905323823987464,412.9915267443596,10
gbdt,0.8672479048117894,+,0.06459245190593027,5,77.0,0.7451433726160774,0.25741481985264697,0.8467749878543338,413.3450541014154,50
dart,0.7456974232367868,+,0.18466374040253336,5,76.0,0.6318732629465383,0.483246528063329,0.7436748705596516,413.5552051027455,93
gbdt,0.786685768802208,+,0.06760947863257206,5,45.0,0.52524337261676,0.2601819082371081,0.7968641830824448,413.60783019578,97
gbdt,0.8109884707322479,+,0.06058153777239302,5,82.0,0.2938883345709675,0.2173793636629882,0.597659940552858,414.1553729101809,34
gbdt,0.686915329381887,+,0.8464919955263608,5,86.0,0.78654779706733,0.9313760061876644,0.7845393349670616,414.2604993799516,70
dart,0.9541628255180881,+,0.17178181821084693,5,96.0,0.5563257022020682,0.2957196387120737,0.9943473388056387,414.295403125627,21
gbdt,0.6258767661572389,+,0.07410067793336715,5,67.0,0.5710808514878389,0.07123132255585568,0.868124356113722,415.0522908977416,59
gbdt,0.6204538214708207,+,0.9306823890354183,5,59.0,0.9200092264373162,0.5434030676903124,0.6620299911421867,415.0568685350019,9
gbdt,0.957243145173432,+,0.052032857287633856,5,89.0,0.46445312845867986,0.42765203573195143,0.5306587318395821,415.241790116882,65
goss,0.9133711339756474,+,0.04117002737492005,5,90.0,0.4377934806136891,0.11001253909737509,1.0,416.97824727249343,57
gbdt,0.7848819316629488,+,0.04606979673105751,5,80.0,0.7511253601473524,0.32505915119140405,0.5092039629905101,417.1124239706196,36
gbdt,0.8045605546606369,+,0.04354060928873476,5,32.0,0.8326320323149597,0.45470105222137214,0.847965681173882,417.6207001322635,1
goss,0.9276076604929988,+,0.9931166378660949,5,83.0,0.512641140254861,0.004578664914400343,1.0,418.0127576321348,49
gbdt,0.8450044966946982,+,0.03239878959269208,5,92.0,0.7931134340007858,0.22600953594641826,0.5524781100168803,419.9021903139959,99
dart,0.9718804204653101,+,0.11151506154943333,5,53.0,0.7344003608333294,0.26963209924986253,0.8501065469934445,420.2022702162415,61
goss,0.6162071717206198,+,0.04281531928076346,5,61.0,0.727725743177325,0.41010395885331374,1.0,420.621554485961,2
gbdt,0.695851788149161,+,0.03445710411984604,5,71.0,0.8190538048714617,0.00995854329821863,0.7286394498989807,420.688469086114,40
dart,0.8389965235361304,+,0.10068366578824663,5,85.0,0.8811666446511112,0.3170452117886987,0.7142832516164856,421.552686272425,56
goss,0.9931129675286405,+,0.02381499987295861,5,72.0,0.9393697376027715,0.7340280179855683,1.0,423.43959773826737,7
gbdt,0.6695966890029563,+,0.028296576356063,5,84.0,0.013183035637853835,0.5271098077466071,0.8987194012367643,424.5367849802531,14
gbdt,0.8655669580661757,+,0.021116669458591496,5,88.0,0.154988836268026,0.0347246651698806,0.6897234565367064,425.630926817525,63
goss,0.8872081224782706,+,0.018611935181792664,5,34.0,0.9187225216693768,0.44483251230115173,1.0,426.86562965187886,4
goss,0.8241409505281198,+,0.018405979362508342,5,63.0,0.5984354929006167,0.5018282241281988,1.0,427.0502059032776,53
goss,0.876444643150869,+,0.017634700678817877,5,38.0,0.6810391246607139,0.6921104520712689,1.0,427.9492232554923,18
dart,0.8225096950484567,+,0.057028989470505796,5,64.0,0.12470065927231533,0.5158321119303967,0.5625745905758681,428.8458426823516,17
gbdt,0.6717385621683956,+,0.014974146817581495,5,99.0,0.4022356229452352,0.6640626472562159,0.7392107153168436,431.2821146002122,73
gbdt,0.9023202131343525,+,0.012314998980420912,5,65.0,0.17187156139656068,0.8123959883573632,0.5477275196074967,433.09422914253446,5
gbdt,0.6717323365969969,+,0.011451272158518407,5,78.0,0.6798324363569721,0.39506450340419413,0.7269430604907837,435.3913386116081,54
goss,0.7412335382111885,+,0.010660946237694757,5,47.0,0.43802918644092326,0.7995534416071729,1.0,436.0533935747371,6
